12.11.2007 ; 12:29:52 CET
titre;troupe;date;salle;nb libres;nb reserves;nb vendu;encaisse
SLAK;Alibi Collectief;Sat Nov 10 16:00:00 CET 2007;Place du Coq d'Inde;10;0;0;0.0;
SLAK;Alibi Collectief;Sat Nov 10 17:00:00 CET 2007;Place du Coq d'Inde;10;0;0;0.0;
SLAK;Alibi Collectief;Sat Nov 10 22:30:00 CET 2007;Théatre de la Poudrière;10;0;0;0.0;
INFINITA;Familie Flöz;Fri Nov 09 20:30:00 CET 2007;Théâtre du passage - grande salle;500;0;0;0.0;
PEDALURGIE;Alibi Collectief;Fri Nov 09 22:30:00 CET 2007;Théatre de la Poudrière;10;0;0;0.0;
EIN(s)EIN;Uta Gebert;Sat Nov 10 14:00:00 CET 2007;Théâtre du Pommier;35;0;0;0.0;
EIN(s)EIN;Uta Gebert;Sat Nov 10 16:00:00 CET 2007;Théâtre du Pommier;35;0;0;0.0;
EIN(s)EIN;Uta Gebert;Sun Nov 11 14:00:00 CET 2007;Théâtre du Pommier;35;0;0;0.0;
JAKUSCH;Uta Gebert;Sat Nov 10 18:00:00 CET 2007;Théâtre du Pommier;35;0;0;0.0;
JAKUSCH;Uta Gebert;Sun Nov 11 16:00:00 CET 2007;Théâtre du Pommier;35;0;0;0.0;
LA CHAMBRE 26;Compagnie "à";Sat Nov 10 15:00:00 CET 2007;Théatre de la Poudrière;50;0;0;0.0;
LA CHAMBRE 26;Compagnie "à";Sat Nov 10 16:00:00 CET 2007;Théatre de la Poudrière;50;0;0;0.0;
LA CHAMBRE 26;Compagnie "à";Sat Nov 10 17:00:00 CET 2007;Théatre de la Poudrière;50;0;0;0.0;
C'EST QUAND LE TEMPS;ECLAT Theater;Sat Nov 10 20:30:00 CET 2007;Beau-Site / Théâtre Populaire Romand;17;0;83;2054.0;
HOUDINI'S SUITCASE;Pickled Image;Sun Nov 11 17:00:00 CET 2007;Théâtre du passage - petite salle;100;0;0;0.0;
